,title_name,match_id,match_id_platform,platform_name,program_type,target,pred_day,prediction,smape,mae,fold
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.0956106013799394,11,2.109939163451739,0.006814120803715254,0.014328562071799666,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.0956106013799394,12,2.137733196947939,0.019900389656345763,0.0421225955679998,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.0956106013799394,13,2.1496257780286503,0.025447429457973243,0.054015176648710916,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,14,2.097174665868184,0.0007460742148961229,0.0015640644882450871,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,15,2.128080129873518,0.015374955487776945,0.03246952849357898,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,16,2.0864057858409404,0.004402094438044764,0.009204815538998545,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,17,2.0165287065199893,0.0384626535915374,0.07908189485994965,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,18,2.017102159905593,0.03817842189874012,0.07850844147434577,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,19,2.1136624833937874,0.008577196893757175,0.01805188201384844,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,20,2.1015602269209768,0.002835064754057841,0.00594962554103784,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,21,2.095024641477269,0.0002796520664348446,0.0005859599026698525,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,22,2.088044503996033,0.003616979503967056,0.007566097383906012,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,23,2.073948122345847,0.010390777763041129,0.02166247903409202,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,24,2.052540546694578,0.020765904205469008,0.04307005468536085,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,25,2.0507110919354083,0.021657513702767958,0.04489950944453058,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,26,2.0656497417741857,0.014399896730827325,0.02996085960575323,4.0
4584,Collateral,GXBkP0wqeukS7iQEAAAI4,1-GXBkP0wqeukS7iQEAAAI4,1,0,2.095610601379939,27,2.0798852657044433,0.007532200330724368,0.01572533567549561,4.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-27,1.0965561590114703,0.5972209147884858,0.9336983696232304,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-26,0.9683824326115936,0.7082365152877802,1.061872096023107,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-25,0.9697146843782609,0.7070338186512967,1.0605398442564398,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-24,0.9396317310933562,0.7344542532354148,1.0906227975413445,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-23,0.9314565202619589,0.74200216714732,1.0987980083727418,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-22,0.940198165764232,0.7339328210315365,1.0900563628704687,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-21,0.9373410168549279,0.7365650035705598,1.0929135117797728,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-20,0.9336519681162596,0.7399710899925749,1.096602560518441,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-19,0.8890068161448205,0.7818743015460123,1.1412477124898803,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-18,0.8739875217582673,0.7962607708403512,1.1562670068764334,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-17,0.8629611664215013,0.8069176205616596,1.1672933622131993,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-16,0.8526169248996773,0.8169893265905067,1.1776376037350234,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-15,0.8216621667926358,0.8475649823712451,1.2085923618420649,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-14,0.8112794728345878,0.8579697129577266,1.218975055800113,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-13,0.8116200692991649,0.8576271875061076,1.2186344593355358,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-12,0.8314689365519499,0.8378067319684659,1.1987855920827508,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-11,0.8316171524219123,0.8376597624183119,1.1986373762127884,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-10,0.8437676531072165,0.8256629910965865,1.1864868755274842,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-9,0.8395980415608211,0.8297683995612086,1.1906564870738796,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-8,0.841702085388587,0.8276952635305208,1.1885524432461136,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-7,0.8403224789926778,0.8290542608543631,1.189932049642023,2.0
