,title_name,match_id,match_id_platform,platform_name,program_type,pred_day,prediction
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-2,1.1988646073382965
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-1,1.1986657627196375
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,0,1.1983002692274847
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-27,1.6607858970246525
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-26,1.497138692536912
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-25,1.492993529941204
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-24,1.491296597025189
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-23,1.4839448334735308
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-22,1.4836411607265094
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-21,1.4806619261051859
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-20,1.4805737800904102
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-19,1.4637815259062943
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-18,1.4660950116110616
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-17,1.4612072177372122
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-16,1.4624344167588046
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-15,1.4589328039199905
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-14,1.4574954278944736
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-13,1.4571219512151774
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-12,1.4550753975444004
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-11,1.4547473150941856
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-10,1.4542429110644983
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-9,1.4542731178887656
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-8,1.4532440407578364
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-7,1.4417244264126552
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-6,1.4408753743065454
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-5,1.4404241528046082
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-4,1.4398851525127887
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-3,1.437687978098598
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-2,1.4371075206525488
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,-1,1.4366031140695792
8143,A Good Day to Die Hard,GYDkwHQdArrOVwgEAAABR,1-GYDkwHQdArrOVwgEAAABR,1,0,0,1.4356896888917554
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-27,1.5251096387214602
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-26,1.3140802780400338
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-25,1.3099979808350772
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-24,1.3085223767898584
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-23,1.300476056889361
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-22,1.3008974661287325
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-21,1.2982553151893583
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-20,1.2981288185270698
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-19,1.2822229604365825
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-18,1.2842830898462179
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-17,1.2793748832463656
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-16,1.2804552498186734
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-15,1.27649644387999
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-14,1.2749107618156759
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-13,1.27464970377959
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-12,1.2728676341819978
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-11,1.2726428611726863
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-10,1.2725639259355965
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-9,1.2725825848778283
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-8,1.2715593599547872
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-7,1.2590112619764922
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-6,1.2581513479904092
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-5,1.2578488275555708
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-4,1.2575093589485935
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-3,1.2555598326282702
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-2,1.2552345823635438
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,-1,1.2549634396015434
9444,A Return to Salem's Lot,GYU5y1g80Sb-dwgEAAAAj,1-GYU5y1g80Sb-dwgEAAAAj,1,0,0,1.2544683015587632
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-27,1.5124147841434024
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-26,1.296952005338572
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-25,1.2928755902754396
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-24,1.2914206953643306
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-23,1.2833093877352861
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-22,1.2837986409032092
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-21,1.2811880299574678
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-20,1.2810579449304993
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-19,1.2652350244862
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-18,1.267271448043659
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-17,1.2623613314811397
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-16,1.2634279593447435
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-15,1.2594263751043182
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-14,1.2578268164515782
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-13,1.25757627711895
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-12,1.2558189545691412
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-11,1.2556038479402654
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-10,1.255564722648681
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-9,1.255582301087332
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-8,1.2545596237392966
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-7,1.2419152933742783
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-6,1.2410543630719402
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-5,1.2407657561872396
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-4,1.240444957211593
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-3,1.2385186026427428
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-2,1.2382172314125262
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,-1,1.2379679145051188
8350,A Very Brady Sequel,GYGc_BArFPhi5vgEAAAA9,1-GYGc_BArFPhi5vgEAAAA9,1,0,0,1.2375119144398863
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-27,1.4852398610623823
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-26,1.2602867965870046
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-25,1.256222972983715
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-24,1.2548124085628092
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-23,1.2465619865773454
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-22,1.2471964681548244
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-21,1.244653372507952
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-20,1.2445156061378424
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-19,1.2288702240924125
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-18,1.230855902310057
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-17,1.2259416972337043
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-16,1.2269789156739865
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-15,1.2228857591313935
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-14,1.2212564959065564
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-13,1.2210284731735184
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-12,1.21932412477287
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-11,1.2191297102396144
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-10,1.2191758031126296
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-9,1.2191910685982985
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-8,1.218169563403014
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-7,1.2053192355851632
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-6,1.204456129730843
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-5,1.204197306539406
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-4,1.203916472243326
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-3,1.202039719704973
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-2,1.201789464533003
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,-1,1.2015868685955853
9533,Adult Beginners,GYVt-4QKsWq-GwwEAAABM,1-GYVt-4QKsWq-GwwEAAABM,1,0,0,1.201214648263541
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-27,1.5606155601194587
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-26,1.3619859157519358
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-25,1.3578871669315635
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-24,1.3563536420268822
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-23,1.3484890846796627
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-22,1.3487207429313668
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-21,1.345990378572301
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-20,1.345873918117476
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-19,1.329736093797808
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-18,1.331862525512748
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-17,1.32695966083973
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-16,1.328078452862948
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-15,1.3242392924869493
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-14,1.3226924215058882
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-13,1.3224019439710666
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-12,1.3205506599742054
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-11,1.3202988513071139
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-10,1.320108572628686
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-9,1.320130253604375
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-8,1.3191054971824854
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-7,1.3068265491608093
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-6,1.3059694776842519
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-5,1.3056280427888716
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-4,1.3052363575567674
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-3,1.303222022744043
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-2,1.3028299858046726
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,-1,1.3024977988556052
9541,Aftermath,GYVt8aQzaHcLDaAEAAABM,1-GYVt8aQzaHcLDaAEAAABM,1,0,0,1.3018931967818708
9485,Aquaman: King of Atlantis S1,GYUyYEAyY8qzCVQEAAAB_-1,1-GYUyYEAyY8qzCVQEAAAB_-1,1,1,-27,1.3244953869570963
9485,Aquaman: King of Atlantis S1,GYUyYEAyY8qzCVQEAAAB_-1,1-GYUyYEAyY8qzCVQEAAAB_-1,1,1,-26,1.222722557137825
9485,Aquaman: King of Atlantis S1,GYUyYEAyY8qzCVQEAAAB_-1,1-GYUyYEAyY8qzCVQEAAAB_-1,1,1,-25,1.2224290105249
9485,Aquaman: King of Atlantis S1,GYUyYEAyY8qzCVQEAAAB_-1,1-GYUyYEAyY8qzCVQEAAAB_-1,1,1,-24,1.1961465310516104
9485,Aquaman: King of Atlantis S1,GYUyYEAyY8qzCVQEAAAB_-1,1-GYUyYEAyY8qzCVQEAAAB_-1,1,1,-23,1.1561774861463006
9485,Aquaman: King of Atlantis S1,GYUyYEAyY8qzCVQEAAAB_-1,1-GYUyYEAyY8qzCVQEAAAB_-1,1,1,-22,1.1722946174634892
9485,Aquaman: King of Atlantis S1,GYUyYEAyY8qzCVQEAAAB_-1,1-GYUyYEAyY8qzCVQEAAAB_-1,1,1,-21,1.17288055949787
